handle	name	specialty	github	github_followers	github_company	huggingface	scholar_id	sem_scholar_id	sem_scholar_h_index	sem_scholar_citations	dblp_pid	affiliation	website	avatar	bio	hackernews	arxiv_author
nikhilaravi	Nikhila Ravi	computer vision					xOrRvKAAAAAJ	2444781	10	1077	248/7650	Arizona State University	https://nikhil-ravi.github.io/	https://pbs.twimg.com/profile_images/1678387619489800193/lqT7gcRk.jpg			Nikhila Ravi
code_star	Cody Blakeney	LLM data				codestar	Hx6daJ4AAAAJ				246/8727			/avatars/eb466945c3ed75c574515cc73db5b3ee.svg			Cody Blakeney
danintheory	Dan Roberts	DL theory				danintheory	f6584f8AAAAJ				148/5679			/avatars/aaa21574bb8aacdc58dc412f5292a260.svg			Dan Roberts
mirowskipiotr	Piotr Mirowski	RL / creative AI					uKXVH54AAAAJ				27/5853			https://pbs.twimg.com/profile_images/1093648552876740609/vyE19-hq.jpg			Piotr Mirowski
y_m_asano	Yuki Asano	self-supervised					CdpLhlgAAAAJ	47792365	22	3163	239/8823			https://pbs.twimg.com/profile_images/1474019559984316416/Q87xxvuZ.jpg			Yuki Asano
dzhulgakov	Dmytro Dzhulgakov	ML systems				dzhulgakov					217/0550			/avatars/d6c7d1b51a94e77ebe54aa19fa8c9878.svg			Dmytro Dzhulgakov
ar_douillard	Arthur Douillard	distributed training					snwgZBIAAAAJ				263/9770			https://pbs.twimg.com/profile_images/2045658443324030976/T7CGJHLM.jpg			Arthur Douillard
yubai01	Yu Bai	training efficiency				baiyu0325	6UGngREAAAAJ				152/6062-1			/avatars/1e9da58fbe7b823b7111bf15188f1795.svg			Yu Bai
abursuc	Andrei Bursuc	computer vision				abursuc	HTfERCsAAAAJ	2370933458	5	191	40/8692			/avatars/fe7f8a3244ab78f8b33dbb6346c1b32f.svg			Andrei Bursuc
timsalimans	Tim Salimans	generative models					w68-7AYAAAAJ				116/2791			https://pbs.twimg.com/profile_images/1653486602906226688/o5M0hCGP.jpg			Tim Salimans
winglian	Wing Lian	fine-tuning				winglian								https://cdn-avatars.huggingface.co/v1/production/uploads/641dfddf3bae5a77636817c5/2IwNwh9kK98eCHUmOGoWD.png
lukezettlemoyer	Luke Zettlemoyer	NLP						2256736753	9	437	21/6793			https://pbs.twimg.com/profile_images/907745707922042880/85jXq7o4.jpg			Luke Zettlemoyer
raiahadsell	Raia Hadsell	RL / robotics					Q0YEc-QAAAAJ				98/5136			https://pbs.twimg.com/profile_images/864431541652307968/GG8YPLzr.jpg			Raia Hadsell
ikostrikov	Ilya Kostrikov	RL					PTS2AOgAAAAJ	2366174915	2	300	151/8834			https://pbs.twimg.com/profile_images/1207104707522641925/rfOtFCTC.jpg			Ilya Kostrikov
_kevinlu	Kevin Lu	RL					0NU0lBUAAAAJ	2070274715	5	78	70/1130			https://pbs.twimg.com/profile_images/1982661288376299520/VAkuO5-F.jpg			Kevin Lu
hazyresearch	Hazy Research	ML systems				hazyresearch								https://pbs.twimg.com/profile_images/2621595727/xyyv7lwnya470lvi2p71.png
johnowhitaker	Jonathan Whitaker	diffusion				johnowhitaker	11-TH-oAAAAJ	40116675	14	2567	64/1641			https://cdn-avatars.huggingface.co/v1/production/uploads/1636442017289-noauth.jpeg			Jonathan Whitaker
sergebelongie	Serge Belongie	computer vision					chD5XxkAAAAJ	2257277646	3	64	b/SJBelongie			https://pbs.twimg.com/profile_images/1581310126975324166/KQ89aI9w.jpg			Serge Belongie
tobyphln	Toby Pohlen	LLM training					1umAK2gAAAAJ	3408089	9	7579	180/6413			https://pbs.twimg.com/profile_images/1848762733732253696/S1aucmiu.jpg			Toby Pohlen
michael_j_black	Michael Black	computer vision				microsoft	6NjbexEAAAAJ				22/5727			https://pbs.twimg.com/profile_images/1447944791048740864/wLZXbH9b.jpg			Michael Black
clattner_llvm	Chris Lattner	ML systems						1765246	17	8503	88/5676			https://pbs.twimg.com/profile_images/1484209565788897285/1n6Viahb.jpg			Chris Lattner
stefanoermon	Stefano Ermon	diffusion					ogXTOZ4AAAAJ	2302797121	14	660	47/8135			https://pbs.twimg.com/profile_images/901161218655756288/46jLcLIc.jpg			Stefano Ermon
math_rachel	Rachel Thomas	fine-tuning					BDsAYUsAAAAJ	2343708730	4	261	31/7144			https://pbs.twimg.com/profile_images/1606468642375602177/OwMf0hll.jpg		math_rachel	Rachel Thomas
sleepinyourhat	Sam Bowman	AI safety				sleepinyourhat		2113781050	1	20	116/0502			/avatars/cc0bf2551e4015c78da6f9574004a111.svg			Sam Bowman
roydanroy	Dan Roy	ML theory					mi55ePgAAAAJ				63/4652			https://pbs.twimg.com/profile_images/647245794249015296/575wCuTG.jpg			Dan Roy
unslothai	Unsloth AI	fine-tuning				unsloth								https://pbs.twimg.com/profile_images/2036313340616777728/OLALWB2_.jpg
merettm	Jakub Pachocki	LLM training									140/7314			https://pbs.twimg.com/profile_images/1032407242727809025/AJpM67Ve.jpg			Jakub Pachocki
yuhu_ai_	Yuhuai (Tony) Wu	LLM reasoning					bOQGfFIAAAAJ							https://pbs.twimg.com/profile_images/1281320278363119617/d9Ngg05T.jpg			Yuhuai (Tony) Wu
melmitchell1	Melanie Mitchell	AI evaluation					4xK5uaQAAAAJ				69/1053			https://pbs.twimg.com/profile_images/1417524012104785928/HENn1FzD.jpg			Melanie Mitchell
wesmckinn	Wes McKinney	data systems						2143714703	11	517	264/0055			https://pbs.twimg.com/profile_images/1724212464445730816/64ZDhx9C.jpg			Wes McKinney
deliprao	Delip Rao	NLP				delip	u-T21zUAAAAJ				65/4776			https://cdn-avatars.huggingface.co/v1/production/uploads/60d3ab1507da9c17c7270917/x5FxIakR-okI5Csd1Sg7Q.png			Delip Rao
amuellerml	Andreas Mueller	ML libraries / scikit-learn				amuellerml	pluXNywAAAAJ	2107726208	13	1205				/avatars/63b27edefaa396ba88346584366b1b71.svg			Andreas Mueller
aidan_mclau	Aidan McLaughlin	LLM research					kf0XScMAAAAJ	2347577145	3	1028	251/5809			https://pbs.twimg.com/profile_images/2021802969738735617/ubpldNLZ.jpg			Aidan McLaughlin
egrefen	Edward Grefenstette	NLP / RL					ezllEwMAAAAJ				89/9058			https://pbs.twimg.com/profile_images/1701720890138882048/8_FxlWxz.jpg			Edward Grefenstette
reach_vb	Vaibhav Srivastav	open-source LLMs				reach-vb	ocRPKtIAAAAJ				314/6817			https://cdn-avatars.huggingface.co/v1/production/uploads/1655385361868-61b85ce86eb1f2c5e6233736.jpeg			Vaibhav Srivastav
jure	Jure Leskovec	graph learning					Q_kKkIUAAAAJ				l/JureLeskovec			https://pbs.twimg.com/profile_images/1758953504415334400/QiZeIXbi.jpg			Jure Leskovec
huybery	Binyuan Hui	LLM training				huybery	RBb3ItMAAAAJ				246/4699			https://cdn-avatars.huggingface.co/v1/production/uploads/61e4c4ca1ab24785ac11ba69/1Q1zhhyGSJ9RJG9MzwxVv.jpeg			Binyuan Hui
shunyuyao12	Shunyu Yao	agents					qJBXk9cAAAAJ				156/1038			https://pbs.twimg.com/profile_images/1274872664423723008/mMz1d9OF.jpg			Shunyu Yao
wellingmax	Max Welling	generative models					8200InoAAAAJ				16/2286			https://pbs.twimg.com/profile_images/1259203093042024448/mpChpF8j.jpg			Max Welling
bneyshabur	Behnam Neyshabur	generalization theory					e1ucbCYAAAAJ	3007442	46	25933	131/9898			https://pbs.twimg.com/profile_images/1136894710293774336/RN2vpcX0.png			Behnam Neyshabur
denny_zhou	Denny Zhou	LLM reasoning				dennyzhou	UwLsYw8AAAAJ				178/3277			https://cdn-avatars.huggingface.co/v1/production/uploads/noauth/vXMxaoWwFziul8TqIhQw8.jpeg			Denny Zhou
xiao_ted	Ted Xiao	robotics					LIJQ_ZYAAAAJ				198/0598			https://pbs.twimg.com/profile_images/1604438813149138952/ZFxh6pdd.jpg			Ted Xiao
cwolferesearch	Cameron R. Wolfe	LLM explainers				cwolferesearch	jXLvrUwAAAAJ	2257490599	2	76	238/0394			https://cdn-avatars.huggingface.co/v1/production/uploads/noauth/bj6lxxX8mHz9kec8D_QZR.png			Cameron R. Wolfe
animaanandkumar	Anima Anandkumar	AI for science					bEcLezcAAAAJ	2367549145	4	692	25/1529			https://pbs.twimg.com/profile_images/1443692617473015808/1ygwZsWX.jpg			Anima Anandkumar
ethanhe_42	Ethan He	video / multimodal				ethanhe	2yAMJ1YAAAAJ				336/4443			/avatars/87e1125868616d4f7d6ee1e5ec4499b4.svg			Ethan He
isafulf	Isa Fulford	LLM research				isafulf					405/4396			/avatars/4b6de2bf311a605cec585c72e10555f7.svg			Isa Fulford
ryan_p_adams	Ryan Adams	probabilistic ML					grQ_GBgAAAAJ				32/909			https://pbs.twimg.com/profile_images/1758859702434193409/9nD5HZf6.jpg			Ryan Adams
alex_conneau	Alexis Conneau	speech / audio					45KfCpgAAAAJ				182/2017			https://pbs.twimg.com/profile_images/1831842387401768960/30qhQu9c.jpg			Alexis Conneau
natashajaques	Natasha Jaques	RL					8iCb2TwAAAAJ				145/7732			https://pbs.twimg.com/profile_images/1702377276376227840/kG1riV9J.jpg			Natasha Jaques
jon_barron	Jon Barron	computer vision / NeRF					jktWnL8AAAAJ	50329510	59	34852	30/9988			https://pbs.twimg.com/profile_images/2027105545086537728/yiV10DcI.jpg			Jon Barron
danielhanchen	Daniel Han	fine-tuning						144324077	13	500	39/3980			https://pbs.twimg.com/profile_images/1624054272676532224/UNv4ONME.jpg		danielhanchen	Daniel Han
chris_j_paxton	Chris Paxton	robotics				cpaxton	I1mOQpAAAAAJ				148/6144			https://cdn-avatars.huggingface.co/v1/production/uploads/62b13b28b7053ab38d2d5f96/V6780Omima7sNW5E4TEeW.png			Chris Paxton
mark_riedl	Mark Riedl	narrative AI					Yg_QjxcAAAAJ				r/MarkORiedl			https://pbs.twimg.com/profile_images/1458064498376462339/Y0C-wjUL.jpg			Mark Riedl
jeffclune	Jeff Clune	open-ended RL					5TZ7f5wAAAAJ	2552141	53	29337	49/2799			https://pbs.twimg.com/profile_images/1948765264436494337/wrBA-a0W.jpg		jeffclune	Jeff Clune
andrewwhite01	Andrew White	AI for science									26/4895			https://pbs.twimg.com/profile_images/1839006516084379649/V6EDbruL.jpg			Andrew White
sophiamyang	Sophia Yang	open-weight LLMs				sophiamyang	iSdizwYAAAAJ				294/6135			https://cdn-avatars.huggingface.co/v1/production/uploads/6320c05a145cfa4c04cb4359/SC9BuRcmqJjHM-cjjPjg7.jpeg			Sophia Yang
adampaulcoates	Adam Coates	speech / HPC					bLUllHEAAAAJ	144638694	34	29707	60/5515-1			https://pbs.twimg.com/profile_images/510238871771025408/REjKh4nB.png			Adam Coates
rivershavewings	Rivers Have Wings	diffusion												https://pbs.twimg.com/profile_images/1567814731754524672/TSIDqDO1.jpg
tacocohen	Taco Cohen	equivariance / RL					a3q4YxEAAAAJ				142/2903			https://pbs.twimg.com/profile_images/928010548985376768/YaxVDPH_.jpg			Taco Cohen
yejinchoinka	Yejin Choi	NLP				yejinchoinka	vhP-tlcAAAAJ	2324219768	4	102	89/579			/avatars/52e54bdd6a1fb6c774a40cd70f3d7925.svg			Yejin Choi
danijarh	Danijar Hafner	world models					VINmGpYAAAAJ				184/8088			https://pbs.twimg.com/profile_images/2027668006046969856/I1sED4yv.jpg			Danijar Hafner
vikhyatk	vik	vision-language				vikhyatk								https://cdn-avatars.huggingface.co/v1/production/uploads/63117568fa95534e218da163/8h9zN8aKRxPLBnXW7sqY9.jpeg
rao2z	Subbarao Kambhampati	planning / reasoning						2242974185	2	43	k/SKambhampati			https://pbs.twimg.com/profile_images/1240088892751007745/zFdWaIFe.jpg			Subbarao Kambhampati
zeyuanallenzhu	Zeyuan Allen-Zhu	LLM theory				zhuzeyuan	MoJFIiQAAAAJ				10/7536			/avatars/b33dcadc0ff8941da6aa850284be3207.svg			Zeyuan Allen-Zhu
yeewhye	Yee Whye Teh	Bayesian deep learning									88/2483			https://pbs.twimg.com/profile_images/1061029724108005376/vh1O4oP_.jpg			Yee Whye Teh
jm_alexia	Alexia Jolicoeur-Martineau	generative models				AlexiaJM	0qytQ1oAAAAJ				223/4753			https://cdn-avatars.huggingface.co/v1/production/uploads/1660479589894-noauth.jpeg			Alexia Jolicoeur-Martineau
alexwei_	Alexander Wei	LLM reasoning					d5wGxRsAAAAJ	48896173	6	536	249/9424			https://pbs.twimg.com/profile_images/1695738958041493504/OkFyoThU.jpg			Alexander Wei
kalomaze	kalomaze	LLM sampling				kalomaze								https://cdn-avatars.huggingface.co/v1/production/uploads/6491e00e057b0928b3e07b75/j31tFTZuAqfE5gYfZqSdI.jpeg
haldaume3	Hal Daumé III	NLP				haldaume3	PbEw81gAAAAJ	123790583	3	370	77/2856			/avatars/3068a8af7dc0b2d05625c282ba7a5ffb.svg			Hal Daumé III
xwang_lk	Xin Eric Wang	multimodal agents						2153687387	10	371				https://pbs.twimg.com/profile_images/2050273540390481921/1NmXXQ8O.jpg			Xin Eric Wang
jcjohnss	Justin Johnson	computer vision				RyeCatcher	mS5k4CYAAAAJ	153365696	52	21619				https://cdn-avatars.huggingface.co/v1/production/uploads/6623ed6137a551c3e1dd5139/aPuSK1NNbJxw_lmJMtLys.jpeg			Justin Johnson
mpshanahan	Murray Shanahan	cognitive AI					00bnGpAAAAAJ	1757629	50	11709				https://pbs.twimg.com/profile_images/1189809148348829697/HJPXbo3J.jpg			Murray Shanahan
nielsrogge	Niels Rogge	transformers				nielsr								https://cdn-avatars.huggingface.co/v1/production/uploads/1608042047613-5f1158120c833276f61f1a84.jpeg
suryaganguli	Surya Ganguli	theoretical neuroscience / DL					rF2VvOgAAAAJ	25769960	68	36958				https://pbs.twimg.com/profile_images/703358281750687744/6WHgcnPh.jpg			Surya Ganguli
joon_s_pk	Joon Sung Park	agent simulations					Y4Oc0cMAAAAJ							https://pbs.twimg.com/profile_images/1647958324862676992/PmLeX0Ng.jpg			Joon Sung Park
vincesitzmann	Vincent Sitzmann	neural fields				vsitzmann	X44QVV4AAAAJ							/avatars/65eb911f1063dc10791359531f842122.svg			Vincent Sitzmann
ptrblck_de	ptrblck	PyTorch internals												https://pbs.twimg.com/profile_images/732154307173322752/YM1VhUkp.jpg
wattenberg	Martin Wattenberg	interpretability / viz				wattenberg	pv54dqMAAAAJ							/avatars/0e9bd14e28ead268b2f0cf40f39b53c2.svg			Martin Wattenberg
xbresson	Xavier Bresson	graph neural networks					9pSK04MAAAAJ							https://pbs.twimg.com/profile_images/772521938711347204/ct7pxx46.jpg			Xavier Bresson
xenovacom	Xenova	in-browser ML												https://pbs.twimg.com/profile_images/1628854727218798593/sWLzdtJ1.jpg
catherineols	Catherine Olsson	alignment					TvdMDhwAAAAJ							https://pbs.twimg.com/profile_images/1557826463281295360/7NIHBVko.jpg			Catherine Olsson
kenneth0stanley	Kenneth Stanley	open-endedness / neuroevolution					6Q6oO1MAAAAJ	118681391	6	394				https://pbs.twimg.com/profile_images/711049920048816128/9_Hrbm1h.jpg			Kenneth Stanley
nrehiew_	wh	LLM engineering						2101602682	3	223				https://pbs.twimg.com/profile_images/1760005111055777792/NmshY7lw.jpg			wh
__nmca__	Nat McAleese	LLM research					crw6TeIAAAAJ	147687624	10	4503				https://pbs.twimg.com/profile_images/1436081419638431745/BBObm1dq.jpg			Nat McAleese
coreylynch	Corey Lynch	robotics / foundation models				coreylynch		32245472	20	7307				/avatars/8c4e5bd6a69a3847593e62596022d4a9.svg			Corey Lynch
fdellaert	Frank Dellaert	robotics / SLAM					ZxXBaswAAAAJ	2038264	71	29570				https://pbs.twimg.com/profile_images/1283013732218675200/w-sqON6l.jpg			Frank Dellaert
zdeborova	Lenka Zdeborova	statistical physics of ML					gkCjy_UAAAAJ	2546601	48	9719				https://pbs.twimg.com/profile_images/1426449775319306245/mlTg7OkP.jpg			Lenka Zdeborova
avdnoord	Aäron van den Oord	generative models					TqUN-LwAAAAJ							https://pbs.twimg.com/profile_images/774282812576894976/IZUQ0T4s.jpg			Aäron van den Oord
borisdayma	Boris Dayma	generative models				boris								https://cdn-avatars.huggingface.co/v1/production/uploads/1628725777085-5f061f3c5d08220171a0ae35.jpeg
abidlabs	Abubakar Abid	ML tooling				abidlabs	8slGl3oAAAAJ	144948925	21	7618				https://cdn-avatars.huggingface.co/v1/production/uploads/1621947938344-noauth.png		abidlabs	Abubakar Abid
trentonbricken	Trenton Bricken	interpretability					CP6aLusAAAAJ							https://pbs.twimg.com/profile_images/1615139644873773056/-Fhg8_TL.jpg			Trenton Bricken
songshuran	Shuran Song	robotics / manipulation					5031vK4AAAAJ							https://pbs.twimg.com/profile_images/1477840555585454085/EpXIQGg5.jpg			Shuran Song
singularmattrix	Matthew Johnson	ML systems / JAX					k-0MEIMAAAAJ							https://pbs.twimg.com/profile_images/1248475260845838341/5ysgz0yW.jpg			Matthew Johnson
carrigmat	Matthew Carrigan	LLM tooling				Rocketknight1								https://cdn-avatars.huggingface.co/v1/production/uploads/1660312628256-60ba519750effef3a58beac3.png
mattdeitke	Matt Deitke	embodied AI				mattdeitke	k4VxCcYAAAAJ	1632916259	11	5374		Vercept	mattdeitke.com	https://cdn-avatars.huggingface.co/v1/production/uploads/1670871898141-61c388aa727d1257bf3cf58b.jpeg			Matt Deitke
zipengfu	Zipeng Fu	robotics / locomotion					wMcPTbEAAAAJ							https://pbs.twimg.com/profile_images/1703999045847687168/ROjPxbFI.jpg			Zipeng Fu
felixhill84	Felix Hill	language / cognition					4HLUnhIAAAAJ				116/0509			https://pbs.twimg.com/profile_images/1847905415264194561/l5r92XJk.jpg			Felix Hill
sayashk	Sayash Kapoor	AI evaluation				sayashk		39893263	23	2403	215/5563			/avatars/bca882c027d17f7feba837baae71ec2d.svg			Sayash Kapoor
rbhar90	Bharath Ramsundar	ML for science				rbhar90	LOdVDNYAAAAJ	2378027	19	12771	130/4015			/avatars/de81599e37097e73052e2ad8d1aab524.svg			Bharath Ramsundar
lysandrejik	Lysandre	open-source ML				lysandre	i9jjNaAAAAAJ				249/9366			https://cdn-avatars.huggingface.co/v1/production/uploads/5e3aec01f55e2b62848a5217/PMKS0NNB4MJQlTSFzh918.jpeg			Lysandre
andrewlampinen	Andrew Lampinen	cognition / LLMs					_N44XxAAAAAJ				206/6112			https://pbs.twimg.com/profile_images/1869783966284390400/AOroVPyf.jpg			Andrew Lampinen
rogergrosse	Roger Grosse	optimization / safety									26/7058			https://pbs.twimg.com/profile_images/874585772648615936/wnPuq5nI.jpg			Roger Grosse
norabelrose	Nora Belrose	interpretability				norabelrose	p_oBc64AAAAJ	2269471977	9	878	332/2248			/avatars/7e361e249d836a9ac01d111c6347e23a.svg			Nora Belrose
robertarail	Roberta Raileanu	RL / open-endedness						48647153	28	23228	215/5579			https://pbs.twimg.com/profile_images/1929801585216942080/NqtCnQ6j.jpg			Roberta Raileanu
unixpickle	Alex Nichol	generative models				unixpickle		48406732	8	212	217/1769			https://cdn-avatars.huggingface.co/v1/production/uploads/1671510265189-noauth.png		unixpickle	Alex Nichol
bfspector	Benjamin F Spector	ML systems / kernels				benjaminfspector	w_toYkkAAAAJ	2259914006	5	244	88/8850			/avatars/f090e02dd7a24337eabe89c1f6a73304.svg			Benjamin F Spector
eric_wallace_	Eric Wallace	adversarial NLP / safety					SgST3LkAAAAJ				218/6165			https://pbs.twimg.com/profile_images/1705599599761887232/YN3sqrvw.jpg			Eric Wallace
driainmurray	Iain Murray	probabilistic ML					kbSa3_AAAAAJ	46883287	2	56	82/384			https://pbs.twimg.com/profile_images/838431064116838401/ry0JF6mW.jpg			Iain Murray
sandersted	Ted Sanders	LLM research						152669017	5	87	131/3643			https://pbs.twimg.com/profile_images/1652122121341124610/cfqF_UjR.jpg			Ted Sanders
andyzengineer	Andy Zeng	robotics / foundation models				andyzeng	pP6hKfMAAAAJ	47798935	13	994	159/1215			/avatars/120917da2d8587674505163fb960e27d.svg			Andy Zeng
yuntiandeng	Yuntian Deng	LLMs / world models				yuntian-deng	tzoaIiYAAAAJ				166/1720			https://cdn-avatars.huggingface.co/v1/production/uploads/63081e15a670ed10f9d44229/w1b9uq-9774bMMgJbSPsS.jpeg			Yuntian Deng
scottgray76	Scott Gray	GPU kernels					sRId4vsAAAAJ				18/9569			https://pbs.twimg.com/profile_images/1726120400135036928/tCqaucu2.jpg			Scott Gray
chenlin_meng	Chenlin Meng	diffusion models					nEFU7wIAAAAJ				227/2517			https://pbs.twimg.com/profile_images/1872094818387791872/lZtJcGkE.jpg			Chenlin Meng
mcleavey	Christine McLeavey	audio generation												https://pbs.twimg.com/profile_images/1512187985340510219/IwD5rK7d.jpg
benmildenhall	Ben Mildenhall	neural rendering					NozIDL8AAAAJ	2577533	37	27385				https://pbs.twimg.com/profile_images/1834493880894681088/KAhcHTvZ.jpg			Ben Mildenhall
peterjliu	Peter J. Liu	LLM research				peterjliu	1EPxhywAAAAJ							/avatars/1294078b8cd5c1901e4021253d877357.svg		peterjliu	Peter J. Liu
thomasahle	Thomas Ahle	algorithms / ML				thomasahle	aRiVoYgAAAAJ	3416152	8	242				https://cdn-avatars.huggingface.co/v1/production/uploads/noauth/iMYtEZDI2LKQ9AJTd7bkq.png		thomasahle	Thomas Ahle
trishume	Tristan Hume	performance / interpretability					w15pa5MAAAAJ							https://pbs.twimg.com/profile_images/1101630670848307200/d-W5Hk5o.png		trishume	Tristan Hume
loubnabenallal1	Loubna Ben Allal	small LLMs				loubnabnl	reU1i-sAAAAJ	2190281230	11	6962				https://cdn-avatars.huggingface.co/v1/production/uploads/61c141342aac764ce1654e43/81AwoT5IQ_Xdw0OVw7TKu.jpeg			Loubna Ben Allal
glouppe	Gilles Louppe	ML for science				glouppe	F_77d4QAAAAJ							/avatars/8acbe90178973081ecd1bb386e1646b5.svg			Gilles Louppe
lakebrenden	Brenden Lake	cognitive ML					vspmOX8AAAAJ	2373318	31	9189				https://pbs.twimg.com/profile_images/1400617163770236932/TX5yUMCN.jpg			Brenden Lake
anneouyang	Anne Ouyang	GPU kernels				anneouyang								https://cdn-avatars.huggingface.co/v1/production/uploads/636832ce592ab54ed7fcbb70/aI_6QOkWSm8UZvXsgNOsD.jpeg
kswersk	Kevin Swersky	bayesian / RL				kswersky	IrixA8MAAAAJ							/avatars/1df2bfadb2b6fdf8307189936efc6ef0.svg			Kevin Swersky
aaron_defazio	Aaron Defazio	optimization				adefazio	KEzJsdkAAAAJ							/avatars/eef9a3e5bfce4d6481a395e86840d1ab.svg			Aaron Defazio
ml_hardware	Abhi Venigalla	ML systems					wOTxrnUAAAAJ							https://pbs.twimg.com/profile_images/1586953607131279360/5DlscnwH.jpg		ml_hardware	Abhi Venigalla
samsja19	samsja	distributed training				samsja								https://cdn-avatars.huggingface.co/v1/production/uploads/618287950fdbff9130ba7ae0/voNf-w5GSG0uSIS8xWgoK.png
woosuk_k	Woosuk Kwon	LLM inference				wskwon	_AT3eUcAAAAJ							/avatars/990d0c21e28f973290ce429f62156031.svg			Woosuk Kwon
banghuaz	Banghua Zhu	RLHF / alignment				banghua	iyDxq0EAAAAJ	23111704	19	1594				/avatars/61eacc1bdfc5129ead49c61eb2691f4a.svg			Banghua Zhu
chichengcc	Cheng Chi	robotics / manipulation				chengchi	B3I5BtIAAAAJ	2218351723	10	538				https://cdn-avatars.huggingface.co/v1/production/uploads/630440995c70c21d0eaea552/FxrpcUgnnnGWV_9k-KcBa.jpeg			Cheng Chi
sschoenholz	Sam Schoenholz	ML theory					mk-zQBsAAAAJ							https://pbs.twimg.com/profile_images/1209205587214577674/UozgbhIo.jpg			Sam Schoenholz
art_zucker	Arthur Zucker	transformers				ArthurZ	GX4syxIAAAAJ	145252672	5	561				https://cdn-avatars.huggingface.co/v1/production/uploads/1674683851722-62441cb7456803e95009a08f.jpeg			Arthur Zucker
chijinml	Chi Jin	RL theory					GINhGvwAAAAJ							https://pbs.twimg.com/profile_images/1524919981175078912/rW0OX0mg.jpg			Chi Jin
ehsanik	Kiana Ehsani	embodied AI					RScZCLEAAAAJ	2883417	26	6629		Allen Institute for Artificial Intelligence	https://ehsanik.github.io/	https://pbs.twimg.com/profile_images/1376425270211567619/WRzb3cV5.jpg			Kiana Ehsani
tarantulae	Christian S. Perone	ML engineering				tarantulae	EQbv0qkAAAAJ							/avatars/7735d49d1b04ba5e18bbe107ad756b0d.svg			Christian S. Perone
arimorcos	Ari Morcos	data curation				arimorcos	v-A_7UsAAAAJ							/avatars/8e7036f1bfff06b53f442981e91503ac.svg			Ari Morcos
irwanbello	Irwan Bello	LLM research					mY6p8gcAAAAJ							https://pbs.twimg.com/profile_images/1362129771216461830/yy1Mnglx.jpg			Irwan Bello
jyangballin	John Yang	code agents					71G11ksAAAAJ							https://pbs.twimg.com/profile_images/1848865168476016646/j0UtHn11.jpg			John Yang
imordatch	Igor Mordatch	RL / robotics				imordatch	Vzr1RukAAAAJ							/avatars/a78b2bb266f502690fa22757d7752df6.svg			Igor Mordatch
pess_r	Patrick Esser	diffusion					k8h6DNQAAAAJ							https://pbs.twimg.com/profile_images/778975583346761728/TpqPCm_B.jpg			Patrick Esser
ruomingpang	Ruoming Pang	speech / LLMs					1fsmwB8AAAAJ	2238621132	11	857				https://pbs.twimg.com/profile_images/1462972687383474182/zYbL-4FO.jpg			Ruoming Pang
tanishqkumar07	Tanishq Kumar	LLM training					6wRuU3cAAAAJ							https://pbs.twimg.com/profile_images/1904982101314998272/Wnplx6-n.jpg			Tanishq Kumar
xuefz	Fuzhao Xue (Frio)	distillation / scaling				fuzhao								/avatars/e97206c653de3446266c80c2943c0a6f.svg
lcastricato	Louis Castricato	RLHF				LouisCastricato	WrUnrz4AAAAJ							https://cdn-avatars.huggingface.co/v1/production/uploads/1665155571839-60d35a0307da9c17c7270909.jpeg			Louis Castricato
honualx	Alexandre Défossez	speech / audio				adefossez	DubNUU0AAAAJ							https://cdn-avatars.huggingface.co/v1/production/uploads/1666708948380-noauth.jpeg			Alexandre Défossez
aran_nayebi	Aran Nayebi	neuro-AI					zGDaMYAAAAAJ	40637388	20	2105				https://pbs.twimg.com/profile_images/1721132808716857344/i3tlqobg.jpg			Aran Nayebi
birchlabs	Birchlabs	diffusion												https://pbs.twimg.com/profile_images/1576700065099485184/v94oLShy.jpg
hojonathanho	Jonathan Ho	diffusion				hojonathanho	iVLAQysAAAAJ	2240855188	2	20				/avatars/6a2d26c660f235e8124c5d1a55c89e21.svg			Jonathan Ho
yzhang_cs	Yu Zhang	efficiency / ML systems					y3JK-1oAAAAJ				169/7291			https://pbs.twimg.com/profile_images/1883207431532253184/YPcMKNaT.jpg			Yu Zhang
srschmidgall	Samuel Schmidgall	medical AI / agents					bQDooZEAAAAJ	2370716973	7	476	267/2231			https://pbs.twimg.com/profile_images/1704338778301566976/8X-SrykK.jpg			Samuel Schmidgall
cong_ml	Cong Lu	RL / agents				conglu	yMGBji4AAAAJ				255/6574			https://cdn-avatars.huggingface.co/v1/production/uploads/1670192227454-6311ec6ac7722fdac9a93f92.jpeg			Cong Lu
gui_penedo	Guilherme Penedo	pretraining data				guipenedo	L-jmoJYAAAAJ				348/8897			https://cdn-avatars.huggingface.co/v1/production/uploads/62596f9e1c0a084224b93e00/X2aLkJ0ofhkXwAg7lXvxD.jpeg			Guilherme Penedo
_jongwook_kim	Jong Wook Kim	speech / multimodal				jongwook	ovG9zPUAAAAJ				62/3844			/avatars/4b6af7d3a599bd4909f3df15d146e382.svg			Jong Wook Kim
pavlomolchanov	Pavlo Molchanov	efficiency / pruning				pmolchanov	J9PoyoIAAAAJ				165/8169			https://cdn-avatars.huggingface.co/v1/production/uploads/646d0c1c534e52f8c30500a6/75VH8ClbRaP75BU2ONfXE.png			Pavlo Molchanov
fiandola	Forrest Iandola	efficiency				forresti	y1lVpBEAAAAJ				395/5642			/avatars/e56d25a40f2c0e4e6696b9738877fce8.svg			Forrest Iandola
